Date,Close,High,Low,Open,Volume
2025-09-01,1549.150634765625,1585.716556439753,1542.1148000265914,1584.5274660146672,9366820
2025-09-02,1551.0333251953125,1556.0872618637054,1543.8985407870994,1551.8261327808714,2855840
2025-09-03,1564.4111328125,1566.7894345978355,1544.1958700507823,1547.9614036592309,2091370
2025-09-04,1567.9786376953125,1582.5455394847263,1546.8713757893913,1582.5455394847263,2298657
2025-09-05,1579.17626953125,1584.8247512936464,1561.2401171954682,1568.0776893470788,1814479
2025-09-08,1566.6904296875,1589.9777320895596,1563.915723993837,1583.1401595316079,1369139
2025-09-09,1577.2935791015625,1582.5456575346689,1563.2221507582594,1565.6995234219016,1709406
2025-09-10,1578.978271484375,1587.1040054678326,1568.0778317202203,1577.6899893078808,2408379
2025-09-11,1595.130615234375,1602.3645915850425,1576.5999166430443,1578.0863401973904,1762484
2025-09-12,1601.96826171875,1607.8148854954627,1588.590449112162,1595.4280219708444,1878894
2025-09-15,1587.500244140625,1602.4635493398716,1580.9600051556074,1601.9680748566818,2005917
2025-09-16,1595.92333984375,1600.3826102748565,1585.5183755045016,1587.9957479662276,1480567
2025-09-17,1605.53564453125,1607.4184719687219,1592.8515689378683,1598.004455746826,2128406
2025-09-18,1633.6785888671875,1636.354223896581,1612.9677294120793,1620.300776616603,1832386
2025-09-19,1641.0115966796875,1653.0020557715138,1628.2283299762287,1633.6785496511916,3191406
2025-09-22,1629.1202392578125,1642.8944552548485,1620.4990309033988,1635.065933561673,1785320
2025-09-23,1616.43603515625,1629.1202313289366,1610.3912701698368,1628.3274237060962,1967731
2025-09-24,1612.3731689453125,1621.0935689384155,1610.2922001412987,1615.2469453725028,1131058
2025-09-25,1612.6705322265625,1627.9311720173662,1608.012999042789,1613.1660067589557,2762750
2025-09-26,1572.3387451171875,1588.3921916516852,1533.9890668325556,1570.6541801870806,7256759
2025-09-29,1574.915283203125,1604.2473492073423,1565.6994091806273,1566.6903581737797,4180922
2025-09-30,1579.8701171875,1589.7796076773784,1571.645191694717,1574.717109553487,2257443
2025-10-01,1621.3907470703125,1636.5523155460226,1597.3107583309259,1597.3107583309259,3109095
2025-10-03,1616.43603515625,1630.6066548976673,1585.5184733128335,1585.5184733128335,4041865
2025-10-06,1639.7232666015625,1644.6780116157274,1605.3373845894396,1615.2468746177694,1756916
2025-10-07,1638.1378173828125,1647.9482369734005,1632.0930524925982,1634.47135435781,2174852
2025-10-08,1616.83251953125,1640.020752551966,1614.2560760768295,1630.1112615999905,1846507
2025-10-09,1643.489013671875,1647.2546684807023,1617.6252674357627,1630.111201380907,2197566
2025-10-10,1655.7767333984375,1661.425094397898,1634.074925776298,1640.0206198664482,1454056
2025-10-13,1653.2994384765625,1659.8396780896744,1640.8135044941744,1647.4528148203483,1375179
2025-10-14,1639.426025390625,1654.7857346619994,1631.300171132304,1652.5065036097435,2108287
2025-10-15,1640.11962890625,1653.5965108107678,1635.1648840174234,1637.5431857571505,2088737
2025-10-16,1643.9844970703125,1647.8492226127564,1628.3274534739344,1639.029751750631,2895957
2025-10-17,1663.9024658203125,1676.6857322986593,1641.705183705537,1643.1916072270783,1594147
2025-10-20,1673.3165283203125,1681.541453756041,1667.569096455328,1669.6500652506752,1647622
2025-10-21,1675.1993408203125,1680.6495605035493,1668.75817210376,1674.7038663036546,74296
2025-10-23,1674.604736328125,1696.5046849962594,1666.9743564623625,1689.568042008541,2687094
2025-10-24,1683.622314453125,1686.496090683834,1670.7399777327657,1674.7037736467223,994307
2025-10-27,1678.271240234375,1693.0364048620254,1674.7038479466332,1685.6042871936231,2067904
2025-10-28,1671.73095703125,1687.2888078895205,1664.0015064726656,1676.6857020135594,2440939
2025-10-29,1700.369384765625,1706.41414937112,1672.028268034201,1674.7037819031316,1016738
2025-10-30,1687.9825439453125,1701.3603553910416,1664.8933839527986,1700.2703356885543,1986233
2025-10-31,1675.3974609375,1689.568080319914,1671.532856529075,1684.6133352163367,1560918
2025-11-03,1690.9554443359375,1697.2975423035919,1665.9834562693216,1672.9200994602497,1099955
2025-11-04,1674.703857421875,1695.71192843057,1666.9744066168219,1691.5499908988998,1597993
2025-11-06,1670.6409912109375,1708.2970542910004,1651.9120303806567,1683.6223992901835,3389867
2025-11-07,1676.0911865234375,1694.5228139913045,1667.8662613208062,1678.6676297668243,1512908
2025-11-10,1682.433349609375,1687.6853070080012,1670.5419609801618,1682.1360165074605,1235665
2025-11-11,1700.567626953125,1703.4414033683042,1679.6586263579263,1686.1988658426885,1315353
2025-11-12,1716.4228515625,1728.3142403443644,1694.7210428425053,1705.8197449515226,1833097
2025-11-13,1721.6749267578125,1731.9808212091489,1709.7835379983,1718.8011502811712,1727602
2025-11-14,1741.196533203125,1744.16938032178,1718.9992505240762,1721.674885510141,1667322
2025-11-17,1747.93505859375,1751.9979255175253,1731.8816113575822,1749.8178859873417,1430618
2025-11-18,1742.8812255859375,1748.5295867460572,1734.1608256194957,1748.0341122244517,1429522
2025-11-19,1767.9521484375,1774.0961050312974,1735.2508302956865,1746.0521989659226,2131124
2025-11-20,1761.3128662109375,1775.7806981523456,1757.051736908428,1773.7988000517291,1513894
2025-11-21,1763.5919189453125,1771.2222989631728,1757.646224837323,1761.9073540008978,2199311
2025-11-24,1764.68212890625,1769.7359449033265,1755.7635873941877,1769.7359449033265,3434492
2025-11-25,1760.71826171875,1775.8797090989474,1750.115034658016,1768.8439952716303,1848114
2025-11-26,1788.56396484375,1790.5458629440886,1757.5472111872652,1759.4300385756792,1158948
2025-11-27,1793.9150390625,1798.473380310005,1785.78918461086,1785.78918461086,2902053
2025-11-28,1815.022216796875,1816.4095696301642,1791.1403693979933,1793.9150750645715,1623103
2025-12-01,1791.041259765625,1832.2647142711162,1784.6991619265984,1824.3371222136966,1869293
2025-12-02,1783.2127685546875,1798.473407716238,1772.4114000008035,1787.6720391623542,2948688
2025-12-03,1790.3475341796875,1799.5634083907785,1766.3666164408385,1788.662969243037,2114510
2025-12-04,1801.8427734375,1806.6983271918573,1782.0237916957487,1792.0323532822401,1713961
2025-12-05,1788.9603271484375,1803.7253708810058,1783.90639033747,1802.5362804345766,1777401
2025-12-08,1779.942626953125,1789.6539759841844,1769.537661976473,1788.9603600385915,2410074
2025-12-09,1759.9254150390625,1784.8972813257328,1755.9616190592449,1779.7443949381511,2401728
2025-12-10,1769.3394775390625,1775.4833130849672,1751.8987989571958,1771.7177793832846,2321746
2025-12-11,1790.843017578125,1794.1131977248665,1759.0335782821423,1761.9073546284521,1280916
2025-12-12,1777.26708984375,1795.4015055252444,1774.7897172624232,1791.6358508154447,1442309
2025-12-15,1780.83447265625,1788.2665903605346,1761.5109666251096,1762.8983194563343,1396948
2025-12-16,1765.1776123046875,1775.6816481674737,1762.2047651190617,1773.798820756818,1533979
2025-12-17,1776.672607421875,1781.3300196532234,1755.466273182993,1764.8802893248155,1910628
2025-12-18,1730.097900390625,1768.8439824804386,1720.2874810005835,1768.8439824804386,3461351
2025-12-19,1729.10693359375,1744.0702392946073,1725.4403497159606,1731.1879022998176,2768986
2025-12-22,1753.7816162109375,1757.1507460916432,1727.3232049149044,1729.1069615291829,1467257
2025-12-23,1740.0074462890625,1758.5381449802721,1735.8453877351853,1755.9617016652771,1124853
2025-12-24,1721.278564453125,1743.0794443713569,1703.4414808836625,1740.0075263941535,2224786
2025-12-26,1703.936767578125,1721.2783746921798,1692.5408543317462,1721.2783746921798,2507337
2025-12-29,1701.65771484375,1711.8645387722536,1694.82026295185,1703.936946118026,1800816
2025-12-30,1704.6304931640625,1707.5042695781144,1691.5500141996688,1707.5042695781144,2639497
2025-12-31,1704.135009765625,1709.9816332743505,1699.9730721983062,1704.630484283899,1428439
2026-01-01,1705.5223388671875,1710.3780132717689,1693.432809175783,1704.4323191352505,877515
2026-01-02,1712.35986328125,1716.3236592610679,1703.8377261177327,1705.5222910229738,974123
2026-01-05,1713.2518310546875,1730.1970355603828,1707.8016112977675,1712.359952719554,1416698
2026-01-06,1744.2684326171875,1746.6467344800938,1710.0806911135992,1710.0806911135992,1658801
2026-01-07,1766.4656982421875,1790.2484747138844,1732.6743608650763,1739.1155294928276,3059500
2026-01-08,1744.763916015625,1762.5019279197363,1741.7910689132195,1750.0159942827247,1910656
2026-01-09,1714.2427978515625,1749.2232269834508,1711.369021393247,1749.2232269834508,1585689
2026-01-12,1720.2874755859375,1728.512400727513,1698.5856681466876,1716.4227502668182,2327272
2026-01-13,1713.053466796875,1728.0168932847828,1696.6037377927428,1727.2240857083743,1770082
2026-01-14,1685.3070068359375,1721.3775765750315,1673.9110927211293,1721.3775765750315,2479677
2026-01-15,1685.3070068359375,1685.3070068359375,1685.3070068359375,1685.3070068359375,0
2026-01-16,1653.794921875,1692.541006196116,1644.2818350262407,1692.541006196116,3697596
2026-01-19,1660.236083984375,1672.028402024618,1585.5185004572354,1635.065953596524,2975272
2026-01-20,1599.193603515625,1658.9477578382616,1588.2931641139496,1658.9477578382616,5019166
2026-01-21,1598.3017578125,1630.1111983408307,1593.1487501381641,1622.1836058868935,3947877
2026-01-22,1619.408935546875,1631.5976575974692,1598.5990049003235,1599.4908832639828,2279862
2026-01-23,1617.1297607421875,1633.9758944031562,1610.6885919894642,1625.1564237640277,1678658
2026-01-27,1624.06640625,1643.1916501474457,1607.6166763750311,1643.1916501474457,2666522
2026-01-28,1596.0224609375,1634.3722604350364,1585.518425561248,1625.057315491773,4124391
2026-01-29,1574.915283203125,1610.2921138724807,1569.3658720691096,1610.2921138724807,5796513
2026-01-30,1580.861083984375,1591.9596650714554,1570.753330991946,1574.9153896236974,3962196
2026-02-02,1613.166015625,1619.2107807603272,1583.7347556598095,1619.2107807603272,2721280
2026-02-03,1686.6943359375,1709.38709313511,1655.8758450021849,1694.4237868317728,8520586
2026-02-04,1688.9736328125,1713.3509559393071,1679.9560203953858,1699.3785981319695,3952775
2026-02-05,1698.1494140625,1705.530094964051,1679.8973229390572,1694.558848739136,3074842
2026-02-06,1690.6690673828125,1704.5327578147578,1685.1834441130752,1704.5327578147578,1277116
2026-02-09,1700.1441650390625,1708.9212106107386,1691.5666697197375,1702.2386513058061,2647031
2026-02-10,1703.3359375,1715.3045700480702,1697.650763988931,1705.1311593314747,1869988
2026-02-11,1706.627197265625,1712.212534636524,1698.0497018298277,1710.5170271002376,1175501
2026-02-12,1710.4173583984375,1714.5066168457884,1696.7530964874413,1710.3176441438634,1359444
2026-02-13,1693.062744140625,1714.5065432563972,1690.1703003747648,1710.417284984564,1148165
2026-02-16,1696.054931640625,1710.51702897011,1688.9735152295357,1693.0627735724559,1247403
2026-02-17,1712.611572265625,1714.5066301221136,1689.4722644688309,1691.566750836012,1053855
2026-02-18,1719.8924560546875,1726.0762006020343,1712.6114894978764,1715.9029120238258,1262429
2026-02-19,1708.9212646484375,1722.4856904371297,1705.530127763458,1717.6981887464262,1143429
2026-02-20,1719.8924560546875,1722.4856353245032,1703.6350154284378,1705.6297874438685,1203988
2026-02-23,1727.7718505859375,1731.262701654805,1715.7033823468744,1728.3702578474986,1550400
2026-02-24,1727.273193359375,1741.3363121779082,1719.1942690316494,1727.4726218669525,2769363
2026-02-25,1759.58837890625,1765.7722453200734,1728.8689623468,1737.4464578227753,1200997
2026-02-26,1781.0322265625,1787.515235908532,1755.6987182112948,1759.5884264179324,2076586
2026-02-27,1732.4595947265625,1783.4259982925673,1726.3755640809347,1774.3498094522479,3041489
2026-03-02,1747.9190673828125,1755.2997485653734,1707.5249320167618,1707.5249320167618,3919270
2026-03-04,1745.92431640625,1752.606754378093,1716.5014273265674,1716.7008558401753,4914857
2026-03-05,1779.8353271484375,1790.2081659578266,1743.4307379408624,1745.4255099522363,3600895
2026-03-06,1794.6964111328125,1800.8801556956626,1767.168581601097,1779.8353352303507,3669921
2026-03-09,1802.675537109375,1810.2556465961165,1765.3732751929072,1768.265719033581,4112775
2026-03-10,1808.0614013671875,1820.329176196971,1798.5862343049998,1805.2686718483699,3298680
2026-03-11,1821.127197265625,1838.1824742226,1813.3475374425432,1818.2347533954419,2510495
2026-03-12,1820.52880859375,1828.8070397708743,1803.6729599723185,1823.2217022324428,2606057
2026-03-13,1796.890625,1828.5078348093941,1792.302673669177,1817.2373241097612,2554627
2026-03-16,1778.5386962890625,1813.247778370909,1764.176435049479,1796.8906233466914,2452391
2026-03-17,1789.70947265625,1801.3788402203515,1776.4441900823388,1789.4102081541055,1979497
2026-03-18,1773.651611328125,1800.281769410607,1768.5648452157923,1794.895860542458,2436459
2026-03-19,1739.8402099609375,1779.3366722824328,1733.3572007850205,1755.8981006464253,2301164
2026-03-20,1772.4547119140625,1776.643806343623,1749.7143831940332,1750.5122189773597,3591446
2026-03-23,1753.8035888671875,1770.360172325736,1736.5487621491013,1770.1607438237093,2783613
2026-03-24,1748.717041015625,1775.2474860634186,1740.5384022106048,1770.360269981955,2040152
2026-03-25,1790.7069091796875,1804.7700279040193,1750.9111820864912,1762.08185696297,1900794
